"id"	"Reflexive_pronoun"	"De_complement"	"Year"	"Verb"
210	"yes"	"yes"	1529	"burlar"
211	"yes"	"yes"	1529	"burlar"
212	"yes"	"no"	1529	"burlar"
213	"yes"	"no"	1530	"burlar"
214	"no"	"yes"	1530	"burlar"
215	"no"	"yes"	1530	"burlar"
216	"no"	"no"	1530	"burlar"
217	"no"	"yes"	1530	"burlar"
218	"no"	"no"	1530	"burlar"
219	"no"	"yes"	1530	"burlar"
220	"no"	"no"	1530	"burlar"
221	"no"	"no"	1530	"burlar"
222	"no"	"yes"	1530	"burlar"
223	"no"	"yes"	1530	"burlar"
224	"no"	"no"	1530	"burlar"
225	"no"	"yes"	1530	"burlar"
226	"no"	"yes"	1530	"burlar"
227	"no"	"no"	1530	"burlar"
228	"yes"	"no"	1530	"burlar"
229	"no"	"no"	1530	"burlar"
230	"no"	"no"	1530	"burlar"
231	"no"	"yes"	1530	"burlar"
232	"no"	"no"	1530	"burlar"
233	"yes"	"no"	1530	"burlar"
234	"no"	"no"	1530	"burlar"
235	"no"	"yes"	1530	"burlar"
236	"no"	"no"	1530	"burlar"
237	"no"	"yes"	1530	"burlar"
238	"no"	"no"	1534	"burlar"
239	"no"	"no"	1534	"burlar"
240	"no"	"no"	1534	"burlar"
241	"no"	"no"	1534	"burlar"
242	"no"	"no"	1534	"burlar"
243	"no"	"no"	1534	"burlar"
244	"yes"	"yes"	1534	"burlar"
245	"no"	"no"	1534	"burlar"
246	"no"	"no"	1534	"burlar"
247	"no"	"no"	1534	"burlar"
248	"no"	"no"	1534	"burlar"
249	"no"	"no"	1534	"burlar"
250	"no"	"yes"	1534	"burlar"
251	"no"	"no"	1534	"burlar"
252	"no"	"yes"	1534	"burlar"
253	"no"	"no"	1534	"burlar"
254	"no"	"yes"	1534	"burlar"
255	"no"	"no"	1534	"burlar"
256	"no"	"no"	1534	"burlar"
257	"no"	"yes"	1534	"burlar"
258	"no"	"yes"	1534	"burlar"
259	"no"	"yes"	1534	"burlar"
260	"no"	"no"	1534	"burlar"
261	"no"	"no"	1534	"burlar"
262	"no"	"no"	1534	"burlar"
263	"no"	"no"	1534	"burlar"
264	"no"	"yes"	1534	"burlar"
265	"no"	"no"	1534	"burlar"
266	"no"	"no"	1534	"burlar"
267	"no"	"no"	1534	"burlar"
268	"no"	"no"	1534	"burlar"
269	"no"	"no"	1534	"burlar"
270	"no"	"yes"	1534	"burlar"
271	"no"	"no"	1534	"burlar"
272	"no"	"yes"	1534	"burlar"
273	"no"	"no"	1534	"burlar"
274	"no"	"no"	1534	"burlar"
275	"no"	"no"	1534	"burlar"
276	"no"	"yes"	1534	"burlar"
277	"no"	"no"	1534	"burlar"
278	"no"	"yes"	1535	"burlar"
279	"no"	"yes"	1535	"burlar"
280	"no"	"yes"	1535	"burlar"
281	"no"	"no"	1536	"burlar"
282	"no"	"no"	1536	"burlar"
283	"yes"	"yes"	1536	"burlar"
284	"no"	"yes"	1536	"burlar"
285	"no"	"no"	1536	"burlar"
286	"no"	"no"	1536	"burlar"
287	"no"	"yes"	1540	"burlar"
288	"no"	"yes"	1540	"burlar"
289	"no"	"no"	1540	"burlar"
290	"no"	"yes"	1540	"burlar"
291	"no"	"no"	1540	"burlar"
292	"no"	"no"	1540	"burlar"
293	"no"	"no"	1540	"burlar"
294	"no"	"no"	1540	"burlar"
295	"no"	"no"	1540	"burlar"
296	"no"	"yes"	1540	"burlar"
297	"no"	"no"	1540	"burlar"
298	"yes"	"no"	1545	"burlar"
299	"yes"	"no"	1545	"burlar"
300	"no"	"no"	1545	"burlar"
301	"yes"	"yes"	1545	"burlar"
302	"yes"	"yes"	1545	"burlar"
303	"no"	"yes"	1545	"burlar"
304	"no"	"yes"	1545	"burlar"
305	"yes"	"yes"	1545	"burlar"
306	"yes"	"yes"	1545	"burlar"
307	"no"	"yes"	1554	"burlar"
308	"no"	"no"	1544	"burlar"
309	"yes"	"yes"	1544	"burlar"
310	"no"	"no"	1544	"burlar"
311	"no"	"no"	1544	"burlar"
312	"no"	"yes"	1544	"burlar"
313	"yes"	"no"	1545	"burlar"
314	"yes"	"no"	1545	"burlar"
315	"yes"	"no"	1555	"burlar"
316	"yes"	"no"	1555	"burlar"
317	"yes"	"no"	1555	"burlar"
318	"yes"	"no"	1555	"burlar"
319	"yes"	"no"	1555	"burlar"
320	"no"	"no"	1565	"burlar"
321	"no"	"yes"	1565	"burlar"
