idplaces	name	country	country_code	longitude	latitude
6a3c540143359bc3	Piloto Adolfo Lopez Mateos	México	MX	-99.2321418	19.3716982
03793c99ffde46a9	Independencia Oriente	México	MX	-103.3284089	20.689097
281422e306148af4	Mariano Matamoros	México	MX	-99.1514668	23.7337372
ce3c94125dd13e09	Houston TX	United States	US	-95.3698028	29.7604267
51469ac0b5a4c342	Fraccionamiento Imperial	México	MX	-99.1667191	23.7497565
1847b97e81f88118	Jardines de Mirasierra	México	MX	-100.3917278	25.6558051
3a0a8a0511983df9	Atemajac	México	MX	-103.3646378	20.7211422
3d18152793017e47	Lomas de San Agustín	México	MX	-99.25500029999999	19.4611149
01fda4170e610867	Aparición	Venezuela	VE	-69.3845977	9.3775886
1fa365200285d0ba	Centro	México	MX	-99.536755	18.3453603
07d9ecc1f5c87000	Punto Fijo	United States	US	-70.1813018	11.711511
07d9db30b5882001	Chico's Tacos	United States	US	-106.4413683	31.7723294
9e40c149c9d16407	Coronel Barros	Brasil	BR	-54.0691473	-28.3926328
3ab4e687b4cf41c3	Cuauhtémoc	México	MX	-97.8347146	22.1839818
739e8990f4e5a87d	Villas de la Ibero	México	MX	-103.4002499	25.5989347
07d9e3b691884002	The Gallery Inn	United States	US	-66.116141	18.4679575
87251c80527bd047	Cruzeiro do Oeste	Brasil	BR	-53.0762805	-23.7834562
07d9ec7d3c481001	Freddy’s Frozen Custard & Steakburgers	United States	US	NA	NA
6617988ae7c470e6	Independencia Poniente	México	MX	-103.3311131	20.7015687
5f9adad153c08d64	Bairro Vila Júlia	Brasil	BR	-57.0815914	-29.7818032
01020bd4db51d8ae	Parque Industrial Cuamatla	México	MX	-99.19948	19.6647944
14d3421ffbc43d33	Nextitla	México	MX	-99.17398569999999	19.4541944
07d9caeef5c87000	Edinburg North High School	United States	US	-98.15735839999999	26.332777
07d9ec4a45c81003	Las Colinas	United States	US	-96.9588229	32.8958605
b22baa8ad3426b6d	Pedras Altas	Brasil	BR	-53.5843832	-31.73342419999999
56a13ade85756b0e	Fraccionamiento Hacienda Santa Bárbara	México	MX	-98.8937826	19.3018946
78a7a53a31d367f6	Gálvez	México	MX	-100.9192538	22.1380856
7d3638f986a5aa80	Paseo de los Arcos	México	MX	-107.4340442	24.765496
07d9e515f7081000	El Rey	United States	US	-95.8486691	36.1332723
551ec540f8d7a4ae	Del Prado	México	MX	-90.5511932	19.8319915
0107167732b9ab1d	Monguí	Colombia	CO	-72.84908899999999	5.723205999999999
75bf032aa63a35b7	México	México	MX	-100.3161126	25.6866142
07d9f4ec8fc82000	Centro Medico Rio Piedras	United States	US	-66.0736306	18.3958646
013eb1f06f717f7b	Jacas Grande	Peru	PE	-76.7371795	-9.539361699999999
5afe605e53c421e4	Sierra Vista	México	MX	-110.9584873	29.1274104
01e88c68c35f2049	Universidad	México	MX	-110.9335261	29.0749183
2d104c9cd74484b2	Fraccionamiento Tulipanes	México	MX	-103.238214	20.680797
07d9dc0822087001	McDonald's - Carolina Shopping Court	United States	US	-65.9634268	18.3813812
7cd482981ee3aa21	Cosmos	México	MX	-106.0820381	28.647142
0f29ca3acdcb096a	Rondon	Brasil	BR	-52.7660602	-23.4138708
014410f3250171ae	Concepcion Batres	El Salvador	SV	-88.3712796	13.3405347
1e75273e45c42a4b	Pueblo de San Andrés	México	MX	-99.17261409999999	19.2536688
71ecea2cff281998	Culhuacán	México	MX	-99.1075731	19.3382167
68adb972a73bf515	Marianita E Rodríguez	México	MX	-102.5665572	22.7738036
7368a7a12cb10c03	Lomas del Sol	México	MX	-107.3856223	24.8412577
206e9ead87e14c84	Del Bosque	México	MX	-100.7953228	20.5053933
5295852a71b574f7	Jardines de Jurica	México	MX	-100.4480296	20.6551641
3fe8e8560632d8e5	La Reforma	México	MX	-98.6960424	20.0708947
1c5fff7d48e5f63a	Confederación Nacional de Organizaciones Populares Sección A	México	MX	-99.5006322	17.5515346
2e67d5cb4dc4025f	Cuautitlán	México	MX	-99.1648692	19.6726588
433ba4409bb154ec	Jardines del Alba	México	MX	-99.19959689999999	19.6378074
3957abc1b63f804c	Unidad Habitacional Fray Antonio Alcalde	México	MX	-103.3881532	20.6528329
6cb0c5ea839d6aad	Punta Campestre	México	MX	-101.6943762	21.1625507
3f4cb8eddec93378	Súper Manzana 48	México	MX	-86.8439945	21.1441918
63ab9083260ce088	Teyran	France	FR	3.925559	43.68270200000001
5b13445df520731d	Santa Clara	México	MX	-94.5534167	17.9932463
7ad558e015b8b729	Culhuacan Sección 10	México	MX	-99.1194453	19.3316696
e1aa44af00ff5518	San Agustín Loxicha	México	MX	-96.61562110000001	16.0163742
07d9ec81ef488001	Whataburger Field	United States	US	-97.40000219999999	27.8091925
2ce26ff073a2a0ab	Condominios del Bosque	México	MX	-99.1905974	19.2928025
